,T7,F8,Cz,P4
9078,526.8284912109375,-1022.6812744140624,434.05841064453125,339.0107116699219
9079,546.8406982421875,-1006.0536499023438,449.65753173828125,343.5546875
9080,537.6891479492189,-1017.2060546875,439.9936218261719,340.8544921875
9081,519.4234619140625,-1030.8304443359377,418.3844909667969,338.79754638671875
9082,522.2471313476561,-1023.687255859375,428.5943908691406,331.62066650390625
9083,533.2985229492189,-1010.6873779296876,447.4472351074219,331.254150390625
9084,530.5758666992189,-1011.4503173828124,439.4775085449219,339.0368957519531
9085,510.836669921875,-1029.3270263671877,417.2774658203125,333.8421630859375
9086,527.5128784179689,-1020.340087890625,426.59356689453125,334.3545227050781
9087,548.6395874023439,-1000.8028564453124,449.87445068359375,340.0578918457031
9088,536.3203735351561,-1014.7788696289062,447.507080078125,346.3296813964844
9089,523.6533203125,-1037.2593994140623,422.505859375,341.2023010253906
9090,534.8804931640625,-1028.3509521484377,433.51611328125,338.82745361328125
9091,546.623779296875,-1015.6053466796876,450.7420959472656,340.51416015625
9092,538.8110961914061,-1017.3070068359376,440.0796508789063,346.2436828613281
9093,512.4186401367189,-1030.9239501953123,427.2817077636719,346.4381408691406
9094,520.5567016601561,-1025.026123046875,432.8204956054688,339.62030029296875
9095,547.5849609375,-1005.9115600585938,460.0020751953125,345.4134216308594
9096,533.6687622070311,-1020.7813720703124,443.2174072265625,343.8314514160156
9097,511.7230224609375,-1033.474609375,425.8006896972656,336.3179931640625
9098,529.9475708007811,-1019.5584106445312,428.7552185058594,333.625244140625
9099,538.736328125,-1002.3025512695312,438.5649719238281,330.6034240722656
9100,530.706787109375,-1009.3485107421876,430.2736206054688,335.7532653808594
9101,514.569091796875,-1027.8572998046877,410.4297180175781,329.64599609375
9102,528.313232421875,-1020.8038330078124,423.6315612792969,327.9031982421875
9103,545.1315307617189,-1001.995849609375,442.94439697265625,333.41583251953125
9104,540.9615478515625,-1017.0751342773438,438.4004211425781,336.70318603515625
